Index;track_name;artist(s)_name;released_year;released_month;released_day
108;Set Fire to the Rain;Adele;2011;1;1
109;Money Trees;Kendrick Lamar, Jay Rock;2012;1;1
110;Tak Segampang Itu;Anggi Marito;2022;12;2
111;LAGUNAS;Jasiel Nuï¿½ï¿½ez, Peso P;2023;6;22
112;Mine (Taylor's Version);Taylor Swift;2023;7;7
113;Everybody Wants To Rule The World;Tears For Fears;1985;2;17
114;No Role Modelz;J. Cole;2014;12;9
115;Tattoo;Loreen;2023;2;25
116;Rara Vez;Taiu, Milo j;2023;2;8
117;VAGABUNDO;Sebastian Yatra, Manuel Turizo, Beï¿½ï;2023;5;12
118;august;Taylor Swift;2020;7;24
119;LUNA;Junior H, Peso Pluma;2023;6;22
120;Miracle (with Ellie Goulding);Calvin Harris, Ellie Goulding;2023;3;10
121;Nonsense;Sabrina Carpenter;2022;7;15
122;Que Vuelvas;Carin Leon, Grupo Frontera;2022;12;9
123;Por las Noches;Peso Pluma;2021;6;11
124;Feliz Cumpleaï¿½ï¿½os Fe;Feid;2022;8;19
125;Can't Hold Us (feat. Ray Dalton);Ray Dalton, Ryan Lewis, Macklemore;2011;8;16
126;Watermelon Sugar;Harry Styles;2019;11;17
127;lovely - Bonus Track;Billie Eilish, Khalid;2017;8;11
128;Queencard;(G)I-DLE;2023;5;15
129;OMG;NewJeans;2023;1;2
130;Radio;Lana Del Rey;2011;1;1
131;505;Arctic Monkeys;2007;4;20
132;Trance (with Travis Scott & Young Thug);Travis Scott, Young Thug, Metro Boomin;2022;12;2
133;"Tere Vaaste (From ""Zara Hatke Zara Bachke"")";Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain;2023;5;22
134;Perfect;Ed Sheeran;2017;1;1
135;Romantic Homicide;d4vd;2022;7;20
136;Believer;Imagine Dragons;2017;1;31
137;Novo Balanï¿½;Veigh, Bvga Beatz, Supernova Ent, Prod Malax;2023;5;19
138;Without Me;Eminem;2002;1;1
139;QUEMA;Sog, Ryan Castro, Peso Pluma;2023;7;13
140;Stargirl Interlude;The Weeknd, Lana Del Rey;2016;11;24
141;Ojitos Lindos;Bomba Estï¿½ï¿½reo, Bad B;2022;5;6
142;Somewhere Only We Know;Keane;2004;1;1
143;Those Eyes;New West;2019;5;10
144;El Gordo Trae El Mando;Chino Pacas;2023;1;27
145;Mi Bello Angel;Natanael Cano;2023;6;30
146;Bye;Peso Pluma;2023;5;26
147;Danza Kuduro;Don Omar, Lucenzo;2010;1;1
148;Nosso Quadro;Ana Castela, AgroPlay;2023;2;2
149;Locked Out Of Heaven;Bruno Mars;2012;12;5
150;Un Finde | CROSSOVER #2;Big One, FMK, Ke personajes;2023;4;4
151;Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;2022;6;17
152;Counting Stars;OneRepublic;2013;1;1
153;Ghost;Justin Bieber;2021;3;19
154;Under The Influence;Chris Brown;2019;10;4
155;PRC;Natanael Cano, Peso Pluma;2023;1;23
156;Gasolina;Daddy Yankee;2004;7;13
157;One Dance;Drake, WizKid, Kyla;2016;4;4
158;Enchanted;Taylor Swift;2010;1;1
159;Save Your Tears;The Weeknd;2020;3;20
160;Sure Thing;Miguel;2010;5;25
161;Every Breath You Take - Remastered 2003;The Police;1983;1;6
162;The Night We Met;Lord Huron;2015;2;2
163;We Found Love;Rihanna, Calvin Harris;2011;1;1
164;When I Was Your Man;Bruno Mars;2012;12;5
165;Let Me Down Slowly;Alec Benjamin;2018;5;25
166;Do I Wanna Know?;Arctic Monkeys;2013;1;1
167;Demons;Imagine Dragons;2012;1;1
168;ýýýýýýýýýýýý;YOASOBI;2023;4;12
169;Reminder;The Weeknd;2016;11;25
170;Shake It Off;Taylor Swift;2014;1;1
171;Why'd You Only Call Me When You're High?;Arctic Monkeys;2013;1;1
172;SNAP;Rosa Linn;2022;3;19
173;Shape of You;Ed Sheeran;2017;1;6
174;Night Changes;One Direction;2014;11;17
175;Fin de Semana;Oscar Maydon, Junior H;2023;1;13
176;Creep;Radiohead;1992;9;21
177;Car's Outside;James Arthur;2019;10;18
178;Apocalypse;Cigarettes After Sex;2017;3;21
179;Cheques;Shubh;2023;5;19
180;Pink + White;Frank Ocean;2016;8;20
181;Circles;Post Malone;2019;8;30
182;Just The Way You Are;Bruno Mars;2010;1;1
183;Take Me To Church;Hozier;2013;9;13
184;Bebe Dame;Fuerza Regida, Grupo Frontera;2022;12;16
185;You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve;Taylor Swift;2021;4;9
186;Titi Me Preguntï¿;Bad Bunny;2022;5;6
187;Better Than Revenge (Taylor's Version);Taylor Swift;2023;7;7
188;Shut up My Moms Calling;Hotel Ugly;2020;2;10
189;Have You Ever Seen The Rain?;Creedence Clearwater Revival;1968;7;1
190;Es un Secreto;Plan B;2010;7;20
191;POLARIS - Remix;Feid, Mora, Saiko, Quevedo;2023;6;8
192;Ditto;NewJeans;2022;12;19
193;Take On Me;a-ha;1984;10;19
194;Acrï¿½ï¿½s;Shakira;2023;5;11
195;AMG;Natanael Cano, Gabito Ballesteros, Peso Pluma;2022;11;24
196;"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")";Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya;2023;5;15
197;S-Class;Stray Kids;2023;6;2
198;Hits Different;Taylor Swift;2023;5;26
199;Chanel;Becky G, Peso Pluma;2023;3;30
200;Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray);Metro Boomin, Coi Leray;2023;6;2
201;Area Codes;Kaliii, Kaliii;2023;3;17
202;Abcdario;Junior H, Eden Muï¿½ï;2023;5;13
203;Obsessed;Abhijay Sharma, Riar Saab;2022;9;29
204;Piï¿½ï¿½man Deï¿;Semicenk, Doï¿½ï¿½u ;2023;6;2
205;FLOWER;JISOO;2023;3;31
206;Eyes Closed;Ed Sheeran;2023;3;23
207;Escapism.;RAYE, 070 Shake;2022;10;12
208;La Jumpa;Arcangel, Bad Bunny;2022;11;30
209;Karma (feat. Ice Spice);Taylor Swift, Ice Spice;2023;5;26
210;Superhero (Heroes & Villains) [with Future & Chris Brown];Future, Chris Brown, Metro Boomin;2022;12;2
211;Las Morras;BLESSD, Peso Pluma;2023;4;4
212;CHORRITO PA LAS ANIMAS;Feid;2022;12;2
213;Ch y la Pizza;Fuerza Regida, Natanael Cano;2022;12;1
214;Snow On The Beach (feat. More Lana Del Rey);Lana Del Rey, Taylor Swift;2023;5;26
215;Players;Coi Leray;2022;11;30
216;Bite Me;ENHYPEN;2023;5;22
217;Stand By Me (feat. Morgan Wallen);Lil Durk, Morgan Wallen;2023;5;26
218;Normal;Feid;2022;7;8
219;Hummingbird (Metro Boomin & James Blake);James Blake, Metro Boomin;2023;6;2
220;Seu Brilho Sumiu - Ao Vivo;Israel & Rodolffo, Mari Fernandez;2023;3;1
221;Bad Habit;Steve Lacy;2022;6;29
222;CUFF IT;Beyoncï¿;2022;7;29
223;Lilith (feat. SUGA of BTS) (Diablo IV Anthem);Halsey, Suga;2023;6;5
224;69;Nicky Jam, Feid;2023;5;18
225;Niï¿½ï¿½a Bo;Sean Paul, Feid;2023;4;21
226;Search & Rescue;Drake;2023;4;7
227;AMERICA HAS A PROBLEM (feat. Kendrick Lamar);Kendrick Lamar, Beyoncï¿;2023;5;19
228;Lavender Haze;Taylor Swift;2022;10;21
229;Efecto;Bad Bunny;2022;5;6
230;Erro Gostoso - Ao Vivo;Simone Mendes;2023;1;27
231;Cupido;Tini;2023;2;14
232;Just Wanna Rock;Lil Uzi Vert;2022;10;17
233;Unstoppable;Sia;2016;1;21
234;Until I Found You;Stephen Sanchez;2021;9;1
235;Rich Flex;Drake, 21 Savage;2022;11;4
236;Easy On Me;Adele;2021;10;14
237;Cartï¿½ï¿½o B;MC Caverinha, KayBlack;2023;5;11
238;Danger (Spider) (Offset & JID);Offset, JID;2023;6;2
239;Oi Balde - Ao Vivo;Zï¿½ï¿½ Neto & Crist;2023;2;14
240;The Real Slim Shady;Eminem;2000;1;1
241;MERCHO;Migrantes, LiL CaKe, Nico Valdi;2022;12;16
242;The Color Violet;Tory Lanez;2021;12;10
243;Glimpse of Us;Joji;2022;6;10
244;Mejor Que Yo;Mambo Kingz, DJ Luian, Anuel Aa;2023;5;4
245;Curtains;Ed Sheeran;2023;5;5
246;UNFORGIVEN (feat. Nile Rodgers);Nile Rodgers, LE SSERAFIM;2023;5;1
247;Haegeum;Agust D;2023;4;21
248;Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ;Rich The Kid, Matuï¿;2023;4;30
249;MIENTRAS ME CURO DEL CORA;Karol G;2023;2;24
250;Never Felt So Alone;Labrinth;2023;4;7
251;X SI VOLVEMOS;Karol G, Romeo Santos;2023;2;2
252;ceilings;Lizzy McAlpine;2022;4;8
253;Cupid;Fifty Fifty;2023;2;24
254;I AM;IVE;2023;4;10
255;Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe;sped up 8282;1997;1;1
256;Shorty Party;Cartel De Santa, La Kelly;2023;3;4
257;Super;SEVENTEEN;2023;4;24
258;Slut Me Out;NLE Choppa;2022;4;22
259;Double Fantasy (with Future);The Weeknd, Future;2023;4;21
260;All Of The Girls You Loved Before;Taylor Swift;2019;8;23
261;PROVENZA;Karol G;2022;4;21
262;Princess Diana (with Nicki Minaj);Nicki Minaj, Ice Spice;2023;4;14
263;Di Que Si;Grupo Marca Registrada, Grupo Frontera;2023;2;3
264;Shivers;Ed Sheeran;2021;9;9
265;Igualito a Mi Apï¿;Fuerza Regida, Peso Pluma;2022;12;30
266;Shoong! (feat. LISA of BLACKPINK);TAEYANG, Lisa;2023;4;25
267;Komang;Raim Laode;2022;8;16
268;DESPECHï¿;ROSALï¿½;2022;7;28
269;Made You Look;Meghan Trainor;2022;10;21
270;Watch This - ARIZONATEARS Pluggnb Remix;sped up nightcore, ARIZONATEARS, Lil Uzi Vert;2023;2;5
271;No Se Va;Grupo Frontera;2022;4;28
272;Punto G;Quevedo;2022;11;4
273;Lovers Rock;TV Girl;2014;6;5
274;METAMORPHOSIS;INTERWORLD;2021;11;25
275;Mami Chula;Quevedo, Jhayco;2023;4;27
276;En Paris;El Chachito, Junior H;2022;12;24
277;Set Me Free Pt.2;Jimin;2023;3;17
278;I Was Never There;The Weeknd, Gesaffelstein;2018;3;29
279;Don't ever say love me (feat. RM of BTS);RM, Colde;2023;5;4
280;Shut Down;BLACKPINK;2022;9;16
281;Gato de Noche;Nengo Flow, Bad Bunny;2022;12;22
282;Call Out My Name;The Weeknd;2018;3;29
283;Like Crazy (English Version);Jimin;2023;3;24
284;Rosa Pastel;Jasiel Nuï¿½ï¿½ez, Peso P;2023;2;2
285;Sunroof;Nicky Youre, Dazy;2021;12;3
286;Lose Yourself - Soundtrack Version;Eminem;2002;1;1
287;Superman;Eminem, Dina Rae;2002;5;26
288;Mas Rica Que Ayer;Mambo Kingz, DJ Luian, Anuel Aa;2023;3;2
289;People Pt.2 (feat. IU);IU, Agust D;2023;4;7
290;REMIX EXCLUSIVO;Feid;2023;3;17
291;DOGTOOTH;Tyler, The Creator;2023;3;27
292;10:35;Tiï¿½ï¿½sto, Tate M;2022;11;1
293;SORRY NOT SORRY;Tyler, The Creator;2023;3;31
294;HAPPY;NF;2023;3;25
295;La Bebe;Yng Lvcas;2021;12;24
296;I Know - PR1SVX Edit;Kanii, PR1ISVX;2023;3;24
297;Late Night Talking;Harry Styles;2022;5;20
298;Leï¿½;Marï¿½ï¿½lia Mendo;2022;12;9
299;Save Your Tears (with Ariana Grande) (Remix);Ariana Grande, The Weeknd;2020;3;20
300;Something in the Orange;Zach Bryan;2022;4;22
301;VOID;Melanie Martinez;2023;3;29
302;Dijeron Que No La Iba Lograr;Fuerza Regida, Chino Pacas;2023;3;14
303;Midnight Rain;Taylor Swift;2022;10;21
304;If We Ever Broke Up;Mae Stephens;2023;2;10
305;You Proof;Morgan Wallen;2022;5;13
306;LA INOCENTE;Feid, Mora;2022;4;1
307;Malas Decisiones;Kenia OS;2022;10;26
