Index;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
860;63;56;43;24;0;12;23
861;77;94;87;2;0;23;12
862;72;18;46;7;0;28;8
863;70;46;76;30;0;9;45
864;74;46;58;15;0;13;8
865;61;38;62;14;0;23;40
866;55;46;64;0;0;17;10
867;47;56;90;0;0;10;4
868;81;70;65;24;0;8;4
869;90;73;51;39;0;9;6
870;56;43;53;24;0;12;4
871;79;64;59;28;0;11;14
872;79;66;65;5;0;25;14
873;77;71;75;33;1;13;4
874;70;97;59;55;0;27;12
875;82;49;88;20;0;21;3
876;77;74;74;47;0;34;8
877;67;49;77;11;0;19;11
878;67;72;74;30;0;36;4
879;68;80;92;10;0;9;12
880;37;28;66;14;0;9;5
881;74;71;89;24;61;15;5
882;77;78;91;14;0;33;12
883;90;75;50;11;0;9;26
884;70;58;57;25;0;15;7
885;65;79;66;31;0;22;7
886;65;52;80;5;0;6;25
887;34;22;31;43;63;10;7
888;56;21;44;73;0;11;2
889;37;17;27;75;5;10;3
890;70;26;76;8;0;54;23
891;81;48;70;13;0;15;7
892;64;4;60;11;0;19;4
893;82;75;85;33;1;11;4
894;78;75;62;6;0;15;6
895;70;26;56;14;83;11;5
896;52;24;60;0;0;8;3
897;65;24;53;6;0;51;4
898;84;43;75;5;0;6;8
899;73;65;91;4;0;48;18
900;66;24;58;17;0;19;5
901;57;24;37;11;18;16;3
902;72;92;77;9;0;8;11
903;57;50;85;5;0;16;4
904;92;53;62;7;0;63;10
905;49;13;74;0;0;9;4
906;74;22;67;0;0;11;46
907;80;82;81;14;0;13;36
908;59;62;60;12;0;5;44
909;91;23;55;1;0;7;32
910;75;45;63;6;0;35;12
911;80;16;28;17;0;12;39
912;75;11;50;20;0;30;17
913;84;33;36;2;0;39;59
914;66;12;35;55;0;9;14
915;73;25;61;1;0;32;7
916;48;15;31;80;22;12;4
917;77;20;70;1;0;16;5
918;34;39;16;97;0;12;5
919;62;25;44;51;33;14;3
920;93;62;61;0;0;12;20
921;54;22;76;0;0;14;3
922;85;40;43;4;0;39;32
923;64;11;53;1;0;25;27
924;57;55;74;22;0;8;4
925;60;24;39;57;0;8;3
926;42;7;24;83;1;12;6
927;80;81;67;4;0;8;6
928;82;67;77;8;0;12;5
929;61;32;67;15;0;11;5
