Index;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
198;67;24;78;15;0;30;4
199;85;53;68;40;0;9;4
200;78;5;30;21;0;13;5
201;82;51;39;2;0;9;49
202;70;42;43;78;0;11;3
203;80;85;74;62;0;8;9
204;73;45;62;28;0;13;13
205;84;64;39;3;0;11;4
206;78;39;53;30;0;11;6
207;54;25;74;14;0;9;11
208;71;58;70;30;0;32;19
209;62;7;62;6;0;58;6
210;72;45;59;14;0;20;21
211;78;90;84;31;0;7;4
212;74;61;83;11;0;35;6
213;66;85;60;40;0;14;13
214;66;32;40;81;0;11;3
215;95;62;52;3;0;5;16
216;80;69;78;28;0;11;14
217;76;61;58;6;0;16;3
218;71;59;56;4;0;27;12
219;59;26;60;46;1;25;13
220;63;75;92;31;0;91;5
221;69;69;51;63;0;38;4
222;78;64;69;4;0;7;14
223;43;14;74;1;0;19;8
224;79;58;62;11;0;11;23
225;82;47;62;10;0;10;15
226;82;54;44;6;0;33;7
227;78;20;70;1;0;16;4
228;73;10;44;26;0;16;8
229;80;23;48;14;0;6;5
230;59;63;89;18;0;80;9
231;91;63;58;52;0;31;22
232;49;4;55;7;0;6;3
233;47;27;78;11;0;10;8
234;34;25;51;69;0;18;4
235;56;42;52;5;0;36;24
236;60;13;37;58;0;13;3
237;84;55;47;26;0;20;64
238;83;25;69;4;0;23;12
239;67;55;67;60;0;80;5
240;95;78;66;3;0;4;6
241;84;96;79;43;0;18;11
242;65;46;53;16;0;9;5
243;44;27;32;89;0;14;5
244;62;56;66;18;0;12;5
245;50;44;76;10;0;32;5
246;80;38;88;11;0;11;5
247;70;83;84;31;0;47;30
248;77;69;58;39;0;26;5
249;52;57;48;86;0;15;39
250;44;36;41;50;0;38;5
251;79;58;78;34;0;11;25
252;51;27;33;48;0;22;3
253;77;94;66;65;0;38;3
254;68;38;88;1;0;8;5
255;74;75;73;42;0;9;4
256;93;47;47;33;0;10;36
257;77;35;88;16;0;17;9
258;94;71;61;12;0;53;42
259;60;10;57;1;0;50;3
260;72;40;47;71;0;13;4
261;87;53;52;66;1;11;5
262;90;74;68;14;0;10;19
263;57;80;59;8;0;6;5
264;79;82;86;28;0;4;9
265;76;80;81;19;0;6;9
266;76;26;70;1;0;41;6
267;70;35;41;41;0;10;3
268;92;78;62;18;0;6;10
269;84;88;53;35;0;8;7
270;69;36;90;1;10;15;4
271;59;69;53;12;0;23;3
272;75;55;76;25;0;10;15
273;56;57;87;0;1;10;4
274;59;15;64;43;90;12;10
275;80;33;70;22;0;9;4
276;70;77;48;37;0;12;5
277;59;56;82;12;0;12;6
278;32;17;74;14;0;17;3
279;54;19;48;36;0;37;5
280;82;67;69;0;0;18;4
281;89;61;66;17;0;36;16
282;45;17;60;21;0;33;4
283;62;32;76;0;0;39;4
284;70;86;68;24;0;11;4
285;77;84;71;35;0;15;4
286;70;6;73;1;0;36;26
287;80;64;76;2;0;20;6
288;82;53;67;34;0;9;8
289;73;44;57;39;0;32;6
290;65;71;56;4;0;15;20
291;71;80;65;51;0;22;32
292;70;70;79;7;0;18;10
293;48;50;80;40;0;37;20
294;73;22;86;31;0;12;4
295;78;75;46;62;0;12;35
296;67;11;76;8;47;30;7
297;71;90;73;30;0;11;5
298;74;79;87;45;0;30;3
299;65;63;79;3;0;10;3
300;59;22;38;42;0;12;3
301;72;42;66;18;4;19;4
302;70;76;79;26;0;11;7
303;64;18;37;72;0;12;7
304;90;96;73;62;0;9;4
305;73;64;85;25;0;61;3
306;76;46;79;31;0;7;6
307;81;64;79;5;0;31;3
308;71;57;97;1;0;13;11
309;63;40;61;9;0;56;6
310;95;43;69;47;0;9;31
311;58;46;67;65;0;13;4
312;60;77;78;45;0;12;6
313;40;45;56;69;0;9;5
314;36;12;57;9;0;14;8
315;90;64;14;67;35;11;10
316;71;41;31;79;0;10;5
317;77;72;87;17;0;7;5
318;83;58;83;21;0;10;5
319;70;34;55;43;0;16;6
320;50;24;86;0;0;64;4
321;64;30;77;46;0;38;6
322;68;81;82;53;0;9;13
323;61;92;91;0;0;26;3
324;59;20;74;1;0;15;5
325;64;67;80;0;0;36;3
326;66;43;76;49;0;12;3
327;84;44;67;8;0;11;6
328;56;72;85;0;0;15;3
329;57;68;76;7;0;33;3
330;74;51;45;86;0;21;38
331;56;20;43;89;0;12;4
332;68;83;81;9;0;8;4
333;59;44;56;80;0;6;3
334;73;65;79;5;2;11;6
335;79;66;74;8;0;11;5
336;50;49;76;12;0;12;3
337;70;29;73;12;0;11;26
338;58;26;38;91;0;10;4
339;36;28;28;81;0;18;3
340;86;68;79;39;0;11;29
341;59;78;94;27;0;29;23
342;59;49;65;2;0;13;3
343;87;82;70;42;0;21;5
344;49;48;67;10;0;26;3
345;72;96;63;25;0;21;7
346;53;51;70;49;0;14;3
347;55;40;90;1;0;32;6
348;81;97;77;75;0;35;3
349;82;61;59;30;0;12;4
350;74;43;69;12;0;12;7
351;88;43;50;7;0;14;5
352;76;49;56;80;12;10;13
353;53;40;36;73;0;11;33
354;72;59;76;24;0;42;28
355;75;18;25;78;0;11;26
356;65;72;95;31;0;92;5
357;75;43;65;15;0;11;32
358;73;88;57;56;0;5;2
359;66;47;40;72;0;11;3
360;66;16;57;10;1;12;3
361;84;72;74;10;0;34;7
362;53;61;81;5;0;36;4
363;60;52;76;17;0;19;5
364;74;64;73;6;0;10;6
365;70;40;51;35;0;10;4
366;80;29;67;29;0;12;3
367;58;42;68;1;0;14;4
368;53;32;66;38;0;9;3
369;56;56;63;13;0;19;27
370;70;84;90;17;0;41;6
371;64;25;89;0;0;15;9
372;88;82;80;8;0;11;8
373;66;74;84;25;0;21;4
374;79;60;68;7;0;26;4
375;82;55;45;15;3;9;10
376;25;17;30;90;0;13;3
377;64;31;72;15;0;9;5
378;65;80;86;9;0;19;10
379;81;82;78;38;0;12;4
380;82;62;74;10;0;33;7
381;44;38;77;9;0;9;20
382;51;62;79;22;13;14;3
383;71;34;88;16;0;44;4
384;70;57;64;23;0;8;32
385;68;83;71;3;0;31;8
386;41;9;25;84;1;14;4
387;68;50;49;56;0;8;4
388;47;25;43;62;0;32;3
389;77;65;80;6;0;15;4
390;79;59;86;4;0;8;11
391;71;83;89;1;0;17;9
392;80;71;69;2;0;27;10
393;46;34;64;31;0;7;34
394;79;68;79;1;0;10;8
395;58;4;60;7;41;8;3
396;64;61;91;15;0;72;4
397;74;89;70;2;0;5;6
398;41;9;61;2;0;12;5
399;40;23;48;5;0;12;3
400;87;20;83;0;4;31;9
401;87;52;52;31;0;28;24
402;40;39;64;21;0;7;7
403;46;60;28;91;0;21;4
404;47;15;52;38;13;29;5
405;91;97;57;38;0;40;29
406;90;76;81;15;24;33;6
407;81;6;84;5;23;6;6
408;49;24;66;19;0;18;29
409;64;44;65;28;0;14;12
410;95;91;89;6;0;31;24
